eig
   ;eigenvalue;percentage of variance;cumulative percentage of variance;
Deceased;1.6122;-2.8301;-0.8562;0;2.7493;
Living;-1.6122;2.8301;0.8562;0;-2.7493;
DC;-2.5318;-3.3497;-2.1855;0;-3.097;
Marvel;2.5318;3.3497;2.1855;0;3.097;

eta2
   ;Dim 1;Dim 2;Dim 3;Dim 4;Dim 5;
ID;0.1322;0.3335;0.1572;0;0.2333;
ALIGN;0.0014;0.4321;0.0344;0;0.0693;
EYE;0.654;0.4141;0.8018;0.8536;0.3527;
HAIR;0.6374;0.4744;0.7425;0.8536;0.5847;
SEX;0.4693;0.0299;4e-04;0;0.0913;
GSM;0.305;0.0021;0.0229;0;0.0011;
ALIVE;0.0473;0.1456;0.0133;0;0.1374;
company;0.1165;0.204;0.0868;0;0.1744;

svd
vs
0.5434907;0.5044444;0.4820863;0.4619398;0.4533532;0.4424396;0.4123001;0.4048652;0.3825875;0.3629548;0.3564245;0.330133;0.3018028;0.2902073;0.2519175;0.2398458;0.2220896;0.1994618;0.1914883;0.1913417;0.1640175;0.1394618;2.79923e-16;1.226116e-16;1.147683e-16;8.453825e-17;5.220627e-17;4.577045e-17;4.577045e-17;1.73722e-17;
U
   ;
;-0.9668;-0.6407;-0.3916;0;-0.5828;
;-0.9668;-0.6407;-0.3916;0;-0.5828;
;-0.9514;0.5896;0.2837;0;-1.5335;
;-0.6589;0.267;-0.6175;0;-0.5299;
;-0.9668;-0.6407;-0.3916;0;-0.5828;
;-0.037;-0.654;-0.8235;0;-0.4323;
;-0.5451;-0.9773;-0.8356;0;-0.2006;
;-0.9668;-0.6407;-0.3916;0;-0.5828;
;0.0757;-1.159;-0.8117;0;-0.5941;
;-0.8541;-1.1457;-0.3798;0;-0.7447;
;-0.2334;-1.3274;-0.356;0;-1.1382;
;-0.4455;-1.9782;-0.6556;0;0.2566;
;0.7601;-1.1491;0.1468;0;-1.0931;
;-0.515;-0.1193;-0.3786;0;-0.6983;
;-0.037;-0.654;-0.8235;0;-0.4323;
;-0.6577;-0.4722;-0.8474;0;-0.0387;
;-0.824;-0.2878;0.0772;0;-1.2424;
;-0.517;0.6595;1.3727;0;-2.2323;
;-0.2173;-0.1277;-0.4793;0;0.3136;
;-0.3917;0.9867;-0.8041;0;0.9977;
;-0.3435;0.0103;-0.5027;0;0.5136;
;-0.1299;0.2741;-0.5305;0;0.6655;
;-0.5563;-0.3376;1.2341;2.025;1.2351;
;-0.3282;1.2405;0.1726;0;-0.437;
;-0.3282;1.2405;0.1726;0;-0.437;
;-0.3764;2.217;-0.1288;0;0.0471;
;-0.2309;-0.4947;-0.4909;0;0.3518;
;-0.5563;-0.3376;1.2341;-2.025;1.2351;
;0.3899;-0.6764;-0.467;0;-0.0418;
;0.6568;2.0851;-0.3722;0;1.2156;
;0.4035;-0.3095;-0.4555;0;-0.0799;
;-0.2309;-0.4947;-0.4909;0;0.3518;
;0.7626;-0.3164;0.0119;0;0.3968;
;-0.4564;0.3846;-0.6417;0;1.145;
;2.4319;0.6003;0.4677;0;0.2212;
;-0.2908;1.7555;-0.8438;0;1.3115;
;-0.6372;1.0721;0.6284;0;-0.9811;
;-0.2309;-0.4947;-0.4909;0;0.3518;
;0.4472;-1.8326;-1.0317;0;3.5093;
;-0.2309;-0.4947;-0.4909;0;0.3518;
;-0.6526;-0.1581;-0.0469;0;-0.0305;
;1.3675;0.511;0.4615;0;-0.6353;
;-0.2755;2.9858;-0.1685;0;0.3608;
;1.0493;-0.4757;0.1562;0;-0.5474;
;2.7395;-1.0011;0.2315;0;0.9088;
;4.0957;-0.3372;1.1214;0;-0.2431;
;-1.3609;-0.6303;4.1026;-4.8887;1.5979;
